STATE/UT,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL,mean accidents,STATE_TOTAL,jan_mar,apr_june,jul_sep,oct_dec,
A & N Islands,2001,8,23,15,15,14,19,14,19,7,12,13,22,181,168.7857143,2893,46,48,40,47,
A & N Islands,2002,12,10,14,16,10,7,16,11,23,21,11,17,168,167,,36,33,50,49,
A & N Islands,2003,19,13,15,13,13,12,8,16,17,25,14,15,180,168.7857143,,47,38,41,54,
A & N Islands,2004,21,14,22,17,13,18,16,19,16,20,15,24,215,173.8571429,,57,48,51,59,
A & N Islands,2005,19,21,22,17,13,19,21,14,15,19,10,16,206,172.6428571,,62,49,50,45,
A & N Islands,2006,21,13,4,22,9,14,12,14,8,14,6,18,155,165.4285714,,38,45,34,38,1269.391981
A & N Islands,2007,17,16,12,22,12,14,8,10,11,7,11,12,152,165.0714286,,45,48,29,30,
A & N Islands,2008,17,22,15,16,15,17,13,11,13,17,11,24,191,170.7142857,,54,48,37,52,
A & N Islands,2009,16,23,23,21,21,19,24,25,31,22,20,26,271,182.2142857,,62,61,80,68,
A & N Islands,2010,16,30,28,15,29,24,22,18,25,30,27,21,285,184.2857143,,74,68,65,78,
A & N Islands,2011,24,10,19,24,13,28,17,18,25,17,18,22,235,177.2142857,,53,65,60,57,
A & N Islands,2012,25,15,24,24,18,16,17,18,18,25,17,19,236,177.4285714,,64,58,53,61,
A & N Islands,2013,24,23,16,15,13,16,14,25,14,15,14,11,200,172.3571429,,63,44,53,40,
A & N Islands,2014,25,13,19,19,18,15,15,16,15,23,18,22,218,175,,57,52,46,63,
Andhra Pradesh,2001,2204,2437,2405,2351,2550,2284,2025,2077,2070,2276,2122,2387,27188,4026.928571,546821,7046,7185,6172,6785,
Andhra Pradesh,2002,2492,2453,2835,2786,3195,2880,2645,2607,2555,2624,2646,2859,32577,4796.857143,,7780,8861,7807,8129,
Andhra Pradesh,2003,2783,2569,2870,2635,3265,2924,2657,2934,2767,2881,3037,3215,34537,5076.928571,,8222,8824,8358,9133,
Andhra Pradesh,2004,3019,3131,3211,3100,3257,2942,2827,3079,2972,3041,3129,3370,37078,5440,,9361,9299,8878,9540,
Andhra Pradesh,2005,3189,3193,3182,3056,3612,3247,2907,3028,2742,2928,2975,3230,37289,5470.214286,,9564,9915,8677,9133,
Andhra Pradesh,2006,3568,3224,3496,3634,3962,3400,3334,3311,3232,3306,3268,3588,41323,6046.571429,,10288,10996,9877,10162,
Andhra Pradesh,2007,3978,3530,3728,3842,4099,3594,3519,3348,3246,3447,3617,3646,43594,6371.071429,,11236,11535,10113,10710,
Andhra Pradesh,2008,3594,3468,3848,3967,3811,3391,3260,3324,3169,3352,3319,3603,42106,6158.571429,,10910,11169,9753,10274,
Andhra Pradesh,2009,3682,3494,3775,3450,4048,3763,3412,3488,3017,3253,3298,3331,42011,6145.071429,,10951,11261,9917,9882,
Andhra Pradesh,2010,3515,3434,3749,3857,3960,3765,3206,3416,3115,3439,3397,3575,42428,6204.714286,,10698,11582,9737,10411,
Andhra Pradesh,2011,3540,3195,3584,3396,3916,3793,3237,3106,3067,3398,3442,3392,41066,6010.214286,,10319,11105,9410,10232,
Andhra Pradesh,2012,3347,3390,3693,3589,3250,3187,3160,3177,2893,3205,2985,3468,39344,5764.285714,,10430,10026,9230,9658,
Andhra Pradesh,2013,3732,3482,3715,3648,4531,3736,3018,3465,3450,3137,3432,3702,43048,6293.5,,10929,11915,9933,10271,
Andhra Pradesh,2014,3809,3657,3641,3582,3986,3664,3167,3587,3225,3410,3346,4158,43232,6319.857143,,11107,11232,9979,10914,
Arunachal Pradesh,2001,19,17,21,16,19,14,21,14,23,17,30,25,236,176.6428571,3389,57,49,58,72,
Arunachal Pradesh,2002,25,16,21,23,16,19,11,17,18,21,25,23,235,176.5714286,,62,58,46,69,
Arunachal Pradesh,2003,16,24,22,13,18,17,19,21,23,18,16,22,229,175.7857143,,62,48,63,56,
Arunachal Pradesh,2004,23,24,23,11,15,11,14,8,21,29,17,21,217,174.1428571,,70,37,43,67,
Arunachal Pradesh,2005,26,14,29,12,17,20,20,14,19,21,24,21,237,177.0714286,,69,49,53,66,
Arunachal Pradesh,2006,14,20,17,19,20,31,11,25,18,25,21,22,243,178,,51,70,54,68,
Arunachal Pradesh,2007,22,20,26,19,25,19,14,15,22,18,11,19,230,176.2142857,,68,63,51,48,
Arunachal Pradesh,2008,20,21,18,16,33,24,13,18,27,20,24,27,261,180.7142857,,59,73,58,71,
Arunachal Pradesh,2009,20,21,18,16,33,24,13,18,27,20,24,27,261,180.7857143,,59,73,58,71,
Arunachal Pradesh,2010,31,33,20,26,28,23,14,15,18,20,23,29,280,183.5714286,,84,77,47,72,
Arunachal Pradesh,2011,22,24,30,22,29,9,28,22,16,25,15,21,263,181.2142857,,76,60,66,61,
Arunachal Pradesh,2012,17,21,24,16,11,13,20,18,14,16,20,14,204,172.8571429,,62,40,52,50,
Arunachal Pradesh,2013,23,33,16,23,25,27,27,28,24,25,29,28,308,187.7857143,,72,75,79,82,
Arunachal Pradesh,2014,28,10,10,21,9,12,13,14,14,15,22,17,185,170.2857143,,48,42,41,54,
Assam,2001,141,127,202,173,176,137,140,160,132,140,132,146,1806,400.9285714,61718,470,486,432,418,
Assam,2002,196,210,185,159,182,163,144,237,180,180,222,185,2243,463.4285714,,591,504,561,587,
Assam,2003,194,143,193,180,169,180,162,167,205,188,180,184,2145,449.5,,530,529,534,552,
Assam,2004,183,172,170,160,176,168,118,170,157,167,182,179,2002,429.1428571,,525,504,445,528,
Assam,2005,307,334,317,287,306,308,297,354,286,311,287,262,3656,665.5,,958,901,937,860,
Assam,2006,297,333,365,318,363,352,370,289,335,325,378,355,4080,726.1428571,,995,1033,994,1058,
Assam,2007,383,358,392,395,375,331,299,305,296,308,275,278,3995,714.0714286,,1133,1101,900,861,
Assam,2008,375,381,399,363,339,326,371,370,344,308,346,340,4262,752.2857143,,1155,1028,1085,994,
Assam,2009,388,385,400,377,394,376,393,331,387,405,367,382,4585,798.5,,1173,1147,1111,1154,
Assam,2010,418,450,496,452,396,416,455,454,504,525,451,468,5485,927.1428571,,1364,1264,1413,1444,
Assam,2011,554,545,607,515,518,557,502,515,532,551,590,583,6569,1082.071429,,1706,1590,1549,1724,
Assam,2012,590,599,605,601,567,536,486,458,418,544,543,588,6535,1077.285714,,1794,1704,1362,1675,
Assam,2013,634,555,603,632,595,580,535,552,601,697,635,592,7211,1173.928571,,1792,1807,1688,1924,
Assam,2014,658,615,689,612,566,531,573,528,460,670,638,604,7144,1164.428571,,1962,1709,1561,1912,
Bihar,2001,325,361,474,336,528,417,329,336,317,289,317,305,4334,762.0714286,92648,1160,1281,982,911,
Bihar,2002,380,366,401,391,560,477,362,303,227,290,326,289,4372,767.5714286,,1147,1428,892,905,
Bihar,2003,337,340,368,359,440,429,326,241,255,263,258,286,3902,700.5,,1045,1228,822,807,
Bihar,2004,296,349,407,308,413,392,253,258,320,290,297,307,3890,698.8571429,,1052,1113,831,894,
Bihar,2005,262,254,354,340,463,381,310,263,241,255,301,322,3746,678.3571429,,870,1184,814,878,
Bihar,2006,306,348,395,389,439,386,363,341,320,381,380,334,4382,769.2857143,,1049,1214,1024,1095,
Bihar,2007,443,464,505,518,635,551,438,375,347,427,484,444,5631,947.7857143,,1412,1704,1160,1355,
Bihar,2008,447,485,612,583,621,529,441,465,422,487,591,497,6180,1026.285714,,1544,1733,1328,1575,
Bihar,2009,543,706,754,595,925,911,712,592,574,634,699,721,8366,1338.642857,,2003,2431,1878,2054,
Bihar,2010,610,698,722,650,833,1034,723,689,546,606,665,665,8441,1349.428571,,2030,2517,1958,1936,
Bihar,2011,750,808,964,737,964,880,769,644,618,759,773,689,9355,1480.071429,,2522,2581,2031,2221,
Bihar,2012,799,905,915,1027,909,1003,822,787,728,763,837,825,10320,1618,,2619,2939,2337,2425,
Bihar,2013,800,792,815,813,1269,913,882,758,735,765,845,811,10198,1600.642857,,2407,2995,2375,2421,
Bihar,2014,777,742,852,714,985,1002,757,662,685,720,829,806,9531,1505.428571,,2371,2701,2104,2355,
Chandigarh,2001,48,25,34,47,48,46,34,31,53,37,38,52,493,213.3571429,6411,107,141,118,127,
Chandigarh,2002,33,42,47,42,39,34,45,46,39,38,41,48,494,213.5714286,,122,115,130,127,
Chandigarh,2003,43,35,38,40,36,32,29,36,39,43,41,31,443,206.3571429,,116,108,104,115,
Chandigarh,2004,27,36,40,23,36,26,29,34,40,37,45,38,411,201.8571429,,103,85,103,120,
Chandigarh,2005,46,38,32,27,43,44,41,50,56,52,55,44,528,218.6428571,,116,114,147,151,
Chandigarh,2006,52,42,43,42,51,42,31,43,45,46,34,50,521,217.7142857,,137,135,119,130,
Chandigarh,2007,36,39,50,39,48,35,45,48,55,60,48,33,536,219.9285714,,125,122,148,141,
Chandigarh,2008,38,34,46,45,42,39,38,46,36,42,34,37,477,211.5714286,,118,126,120,113,
Chandigarh,2009,35,32,41,25,26,29,37,35,50,38,40,36,424,204.0714286,,108,80,122,114,
Chandigarh,2010,31,39,40,35,31,33,31,30,36,54,44,52,456,208.7142857,,110,99,97,150,
Chandigarh,2011,27,46,40,37,49,35,35,27,26,45,24,50,441,206.6428571,,113,121,88,119,
Chandigarh,2012,34,41,29,40,26,30,36,43,30,35,35,33,412,202.5714286,,104,96,109,103,
Chandigarh,2013,36,27,38,43,40,34,38,31,30,31,37,24,409,202.2142857,,101,117,99,92,
Chandigarh,2014,35,22,31,40,32,25,22,32,38,31,28,30,366,196.1428571,,88,97,92,89,
Chhattisgarh,2001,428,385,403,448,504,425,367,371,400,425,393,438,4987,855.3571429,117817,1216,1377,1138,1256,
Chhattisgarh,2002,477,439,522,511,584,468,434,444,448,515,453,506,5801,971.7142857,,1438,1563,1326,1474,
Chhattisgarh,2003,649,565,589,647,629,613,586,524,501,595,543,582,7023,1146.357143,,1803,1889,1611,1720,
Chhattisgarh,2004,553,532,534,586,592,501,409,437,439,532,483,477,6075,1011,,1619,1679,1285,1492,
Chhattisgarh,2005,472,513,537,513,566,530,558,421,435,496,483,472,5996,999.7857143,,1522,1609,1414,1451,
Chhattisgarh,2006,624,611,607,631,710,598,534,534,507,575,607,573,7111,1159.142857,,1842,1939,1575,1755,
Chhattisgarh,2007,787,632,638,729,701,630,619,544,642,660,599,656,7837,1262.928571,,2057,2060,1805,1915,
Chhattisgarh,2008,773,712,746,859,848,704,659,589,706,783,655,735,8769,1396.142857,,2231,2411,1954,2173,
Chhattisgarh,2009,721,689,643,689,710,670,639,595,617,642,659,639,7913,1273.928571,,2053,2069,1851,1940,
Chhattisgarh,2010,670,627,671,652,705,612,655,606,605,684,655,660,7802,1258.142857,,1968,1969,1866,1999,
Chhattisgarh,2011,868,795,804,725,903,793,747,660,636,770,723,771,9195,1457.214286,,2467,2421,2043,2264,
Chhattisgarh,2012,1253,1161,1175,1188,1182,1121,1103,990,1016,1107,1084,1131,13511,2073.857143,,3589,3491,3109,3322,
Chhattisgarh,2013,1384,1269,1288,1139,1209,1131,1025,1029,1005,1042,1046,1090,13657,2094.785714,,3941,3479,3059,3178,
Chhattisgarh,2014,1167,1110,1000,1020,1149,1051,934,877,910,1005,973,944,12140,1878.142857,,3277,3220,2721,2922,
D & N Haveli,2001,6,11,6,8,9,7,4,7,9,8,5,7,87,155.3571429,1303,23,24,20,20,
D & N Haveli,2002,10,6,3,5,12,9,6,5,6,3,9,6,80,154.4285714,,19,26,17,18,
D & N Haveli,2003,6,10,6,4,8,5,1,6,4,8,8,7,73,153.5,,22,17,11,23,
D & N Haveli,2004,6,10,12,11,10,8,7,5,11,14,5,12,111,159,,28,29,23,31,
D & N Haveli,2005,13,13,9,3,10,16,12,11,5,10,10,15,127,161.3571429,,35,29,28,35,
D & N Haveli,2006,9,5,13,8,5,8,9,6,10,7,9,14,103,158,,27,21,25,30,
D & N Haveli,2007,12,7,14,6,7,10,8,14,14,13,0,11,116,159.9285714,,33,23,36,24,
D & N Haveli,2008,10,15,12,8,14,8,8,9,5,7,9,11,116,160,,37,30,22,27,
D & N Haveli,2009,6,5,2,3,4,4,3,3,0,4,6,5,45,149.9285714,,13,11,6,15,
D & N Haveli,2010,9,10,4,7,5,7,10,4,2,6,7,8,79,154.8571429,,23,19,16,21,
D & N Haveli,2011,12,7,6,8,9,10,6,7,8,10,7,13,103,158.3571429,,25,27,21,30,
D & N Haveli,2012,7,11,15,7,5,7,4,5,9,7,2,6,85,155.8571429,,33,19,18,15,
D & N Haveli,2013,11,5,11,8,5,7,6,8,8,9,5,8,91,156.7857143,,27,20,22,22,
D&N Haveli,2014,6,7,7,10,9,4,8,7,7,8,8,6,87,156.2857143,,20,23,22,22,
Daman & Diu,2001,2,1,4,2,3,5,3,3,4,3,4,1,35,147.9285714,643,7,10,10,8,
Daman & Diu,2002,5,3,8,6,4,4,10,1,5,5,5,12,68,152.7142857,,16,14,16,22,
Daman & Diu,2003,6,8,5,4,3,5,16,4,4,7,4,6,72,153.3571429,,19,12,24,17,
Daman & Diu,2004,8,2,2,2,3,6,5,3,2,3,8,3,47,149.8571429,,12,11,10,14,
Daman & Diu,2005,5,6,4,6,5,4,0,5,3,4,7,8,57,151.3571429,,15,15,8,19,
Daman & Diu,2006,6,7,4,9,9,2,4,3,2,5,5,1,57,151.4285714,,17,20,9,11,
Daman & Diu,2007,8,4,4,7,5,4,5,7,3,4,6,3,60,151.9285714,,16,16,15,13,
Daman & Diu,2008,3,2,9,9,3,1,2,2,3,5,7,4,50,150.5714286,,14,13,7,16,
Daman & Diu,2009,2,2,2,2,1,2,2,1,1,1,2,3,21,146.5,,6,5,4,6,
Daman & Diu,2010,6,2,0,2,4,4,2,2,4,1,3,6,36,148.7142857,,8,10,8,10,
Daman & Diu,2011,2,2,2,1,1,1,1,2,2,2,2,3,21,146.6428571,,6,3,5,7,
Daman & Diu,2012,7,3,5,5,3,4,5,1,2,1,7,7,50,150.8571429,,15,12,8,15,
Daman & Diu,2013,6,2,2,4,1,4,1,1,5,2,2,0,30,148.0714286,,10,9,7,4,
Daman & Diu,2014,6,4,3,3,2,2,0,5,1,5,2,6,39,149.4285714,,13,7,6,13,
Delhi (Ut),2001,707,681,786,762,810,779,763,811,780,821,798,784,9282,1468.928571,119274,2174,2351,2354,2403,
Delhi (Ut),2002,695,710,847,698,702,665,768,801,706,724,669,725,8710,1387.285714,,2252,2065,2275,2118,
Delhi (Ut),2003,638,645,689,714,719,747,785,803,791,859,778,701,8869,1410.071429,,1972,2180,2379,2338,
Delhi (Ut),2004,730,746,755,719,747,766,727,793,761,778,843,745,9110,1444.571429,,2231,2232,2281,2366,
Delhi (Ut),2005,777,722,850,698,815,773,806,900,831,780,835,793,9580,1511.785714,,2349,2286,2537,2408,
Delhi (Ut),2006,718,726,868,779,796,754,846,863,804,832,865,848,9699,1528.857143,,2312,2329,2513,2545,
Delhi (Ut),2007,818,809,839,786,752,757,834,768,833,1196,921,1215,10528,1647.357143,,2466,2295,2435,3332,
Delhi (Ut),2008,698,696,780,747,713,691,731,721,707,704,671,707,8566,1367.142857,,2174,2151,2159,2082,
Delhi (Ut),2009,607,632,644,646,657,565,610,707,609,639,642,656,7614,1231.214286,,1883,1868,1926,1937,
Delhi (Ut),2010,559,574,616,569,639,545,640,600,574,614,652,638,7220,1175,,1749,1753,1814,1904,
Delhi (Ut),2011,562,619,631,575,606,570,633,637,589,685,593,580,7280,1183.642857,,1812,1751,1859,1858,
Delhi (Ut),2012,540,544,570,556,554,556,571,554,658,603,625,606,6937,1134.714286,,1654,1666,1783,1834,
Delhi (Ut),2013,590,553,613,589,635,612,644,593,622,687,703,728,7569,1225.071429,,1756,1836,1859,2118,
Delhi Ut,2014,643,698,801,632,661,658,624,744,742,687,720,700,8310,1331,,2142,1951,2110,2107,
Goa,2001,124,115,111,108,131,95,95,101,108,117,122,148,1375,339.3571429,44931,350,334,304,387,
Goa,2002,99,100,95,113,105,74,65,95,102,113,121,119,1201,314.5714286,,294,292,262,353,
Goa,2003,173,151,151,121,166,113,99,121,116,146,166,155,1678,382.7857143,,475,400,336,467,
Goa,2004,148,127,122,130,143,104,104,120,121,120,139,164,1542,363.4285714,,397,377,345,423,
Goa,2005,93,75,88,100,100,80,64,81,79,84,110,115,1069,295.9285714,,256,280,224,309,
Goa,2006,341,323,314,300,408,268,263,272,291,303,307,359,3749,678.8571429,,978,976,826,969,
Goa,2007,365,362,332,375,392,299,245,274,335,320,353,370,4022,717.9285714,,1059,1066,854,1043,
Goa,2008,396,350,384,354,400,309,276,326,305,340,339,400,4179,740.4285714,,1130,1063,907,1079,
Goa,2009,389,351,370,327,370,306,279,302,324,323,371,458,4170,739.2142857,,1110,1003,905,1152,
Goa,2010,472,411,392,393,422,307,294,346,334,381,388,434,4574,797,,1275,1122,974,1203,
Goa,2011,486,400,370,369,421,353,307,331,312,373,395,444,4561,795.2142857,,1256,1143,950,1212,
Goa,2012,428,317,343,332,393,328,309,357,346,339,391,405,4288,756.2857143,,1088,1053,1012,1135,
Goa,2013,418,372,380,336,361,300,291,327,376,346,376,410,4293,757.0714286,,1170,997,994,1132,
Goa,2014,433,359,349,349,367,354,322,324,285,312,354,422,4230,748.1428571,,1141,1070,931,1088,
Gujarat,2001,1657,1600,1791,1744,1935,1566,1420,1533,1448,1602,1769,1743,19808,2972.642857,300325,5048,5245,4401,5114,
Gujarat,2002,1652,1529,1186,1446,1840,1723,1498,1515,1434,1616,1644,1657,18740,2820.142857,,4367,5009,4447,4917,
Gujarat,2003,1616,1457,1456,1395,1780,1499,1276,1439,1404,1620,1501,1659,18102,2729.071429,,4529,4674,4119,4780,
Gujarat,2004,1669,1580,1601,1606,1771,1493,1357,1119,1471,1476,1673,1662,18478,2782.857143,,4850,4870,3947,4811,
Gujarat,2005,1586,1575,1625,1583,1928,1559,1321,1342,1292,1477,1661,1592,18541,2791.928571,,4786,5070,3955,4730,
Gujarat,2006,1706,1557,1721,1703,1950,1512,1323,1172,1423,1575,1578,1724,18944,2849.571429,,4984,5165,3918,4877,
Gujarat,2007,1898,1743,1918,1959,2169,1806,1509,1505,1613,1732,1867,1714,21433,3205.214286,,5559,5934,4627,5313,
Gujarat,2008,1843,1878,1943,1969,2091,1782,1562,1461,1471,1722,1605,1700,21027,3147.285714,,5664,5842,4494,5027,
Gujarat,2009,1742,1603,1743,1628,1937,1640,1339,1594,1613,1752,1674,1836,20101,3015.071429,,5088,5205,4546,5262,
Gujarat,2010,1892,1716,1803,1717,2042,1730,1469,1310,1391,1639,1860,1929,20498,3071.857143,,5411,5489,4170,5428,
Gujarat,2011,2626,2601,2629,2447,3056,2558,2346,2212,2169,2617,2524,2414,30199,4457.785714,,7856,8061,6727,7555,
Gujarat,2012,2549,2483,2370,2400,2486,2313,2098,2076,1948,2153,2294,2097,27267,4039,,7402,7199,6122,6544,
Gujarat,2013,2357,2189,2266,2189,2405,2142,1788,1821,1848,1931,2051,2048,25035,3720.214286,,6812,6736,5457,6030,
